"SMILES","Tail (C number)","Tail (SMILES)","Head (SMILES)","Head 2 (SMILES)","Head 3 (SMILES)","Counterion","Additives","Conc. A.","pH","IUPAC_Name","Preferred_Name","Surfactant_Type","Molecular_Formula","Molecular_Weight","CMC","pCMC","Temp_Celsius"
"C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-]",12,"C=CC(=O)OCC()CCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,"acrylateoxyethyldodecyldimethylammoniumbromide","(2-Acryloyloxyethyl)dodecyldimethyl ammoniumbromide","cationic","C19H38BrNO2",391.21,0.00413,2.3840499483436,25
"C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-]",14,"C=CC(=O)OCC()CCCCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,"acrylateoxyethyltetradecyldimethylammoniumbromide","Dimethyl-(2-prop-2-enoyloxyethyl)-tetradecylazanium;bromide","cationic","C21H42BrNO2",419.24,0.00126,2.89962945488244,25
"C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-]",16,"C=CC(=O)OCC()CCCCCCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,"acrylateoxyethylhexadecyldimethylammoniumbromide","Hexadecyl-dimethyl-(2-prop-2-enoyloxyethyl)azanium;bromide","cationic","C23H46BrNO2",447.27,0.00084,3.07572071393812,25
"C=CC[N+](C)(C)CCCCCCCCCCCC.[Br-]",12,"C=CC()CCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,,"Allyldimethyldodecylammonium bromide","cationic","C17H36BrN",333.2,,,
"C=CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-]",16,"C=CC()CCCCCCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,,"N,N-Dimethyl-N-(prop-2-en-1-yl)hexadecan-1-aminium bromide","cationic","C21H44BrN",389.27,,,
"C=CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-]",18,"C=CC()CCCCCCCCCCCCCCCCCC","[N+](C)(C)",,,"[Br-]",,,,,"N,N-Dimethyl-N-(prop-2-en-1-yl)octadecan-1-aminium bromide","cationic","C23H48BrN",417.3,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCO",,,,,,,,"2-[4-(2,4,4-Trimethyl-2-pentanyl)phenoxy]ethanol","non-ionic","C16H26O2",250.19,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCO",,,,,,,,"Triton X-100.2","non-ionic","C18H30O3",294.22,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCO",,,,,,,,"4-Octylphenol triethoxylate","non-ionic","C20H34O4",338.25,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCO",,,,,,,,"Triton X-100.4","non-ionic","C22H38O5",382.27,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCO",,,,,,,"p-t-O-P-POE(5)E","Triton X-100.5","non-ionic","C24H42O6",426.3,0.0001,4,24.85
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCO",,,,,,,,"Triton X-100.6","non-ionic","C26H46O7",470.32,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCO",,,,,,,,"Triton X-100.7","non-ionic","C28H50O8",514.35,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,,"Triton X-100.8","non-ionic","C30H54O9",558.38,,,
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol","Triton X-100.9","non-ionic","C32H58O10",602.4,0.0003,3.52287874528034,25
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol","29-[4-(2,4,4-Trimethylpentan-2-yl)phenoxy]-3,6,9,12,15,18,21,24,27-nonaoxanonacosan-1-ol","non-ionic","C34H62O11",646.43,0.00033,3.48148606012211,25
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"p-t-O-P-POE(16)E","Triton X-100.16","non-ionic","C46H86O17",910.59,0.000439,3.35753547975788,24.85
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"p-t-O-P-POE(30)E","2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-Trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol","non-ionic","C74H142O31",1526.95,0.00072,3.14266750356873,24.85
