String,log CMC (uM),T_C
CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+],3.25527250510331,30
CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+],3.25527250510331,50
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.38201704257487,15
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.34242268082221,25
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.31175386105575,35
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.32221929473392,45
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.35602585719312,55
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,3.4099331233313,65
CCCCCCCCOCCOCCOCCO,3.8750612633917,25
CCCCCCCCOCCOCCOCCO,3.96848294855394,15
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.45788189673399,25
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.43775056282039,30
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.42651126136458,35
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.41995574848976,40
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.42160392686983,45
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.43136376415899,50
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.4456042032736,55
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.48713837547719,70
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],4.54900326202579,85
CCCCCCOCCOCCOCCOCCOCCO,4.96614173273903,20
CCCCCCOCCOCCOCCOCCOCCO,4.983,25
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.74429298312268,19.85
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.79657433321043,29.85
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.85003325768977,39.85
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.74036268949424,15
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.73239375982297,20
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.74036268949424,25
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.7481880270062,30
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],3.76342799356294,35
CCCCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],2.49136169383427,40
CCCCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],2.69897000433602,32.6
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],2.81358098856819,25
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],2.51982799377572,40
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],2.33243845991561,60
CCCCCCCCCCCCCC[NH3+].[Cl-],3.44715803134222,25
CCCCCCCCCCCCCC[NH3+].[Cl-],3.568201724067,30
CCCCCCCCCCCCCC[NH3+].[Cl-],3.49136169383427,40
CCCCCCCCCCCCCC[NH3+].[Cl-],3.65321251377534,60
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],2.95904139232109,25
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],2.80617997398389,30
CCCCCCCCCC(=O)[O-].[Na+],5.05307844348342,15
CCCCCCCCCC(=O)[O-].[Na+],5.0386201619497,20
CCCCCCCCCC(=O)[O-].[Na+],5.02530586526477,25
CCCCCCCCCC(=O)[O-].[Na+],5.01619735351244,30
CCCCCCCCCC(=O)[O-].[Na+],5.00860017176192,35
CCCCCCCCCC(=O)[O-].[Na+],5.00560944536028,40
CCCCCCCCCC(=O)[O-].[Na+],5.00860017176192,45
CCCCCCCCCC(=O)[O-].[Na+],5.01325866528352,50
CCCCCCCCCC(=O)[O-].[Na+],5.02448566769917,55
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.80617997398389,25
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.95424250943933,10
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.77085201164214,40
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.60205999132796,20
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.75587485567249,23
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.98989456371877,19.85
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.04532297878666,29.85
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.08635983067475,39.85
CCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],4.11727129565576,40
CCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],4.04139268515823,30
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.40312052117582,10
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.32014628611105,20
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.30749603791321,37
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.32837960343874,50
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.65321251377534,6
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.54406804435028,25
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.65321251377534,45
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.12710479836481,15
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.09691001300806,25
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.11394335230684,35
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.14921911265538,45
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.20139712432045,55
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.23552844690755,65
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.28103336724773,75
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.32837960343874,85
CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],2.90308998699194,25
CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],3.07918124604763,50
