surfactant_smiles,temperature,additive_smiles,additive_concentration,pcmc
CCCCCCCC[n+]1ccccc1.[Cl-],31.9552419354839,,,0.7423214251308154
CCCCCCCCn1cc[n+](C)c1.[Cl-],31.9552419354839,,,1.0969100130080565
CCCCCCCC[n+]1ccc(C)cc1.[Cl-],31.9552419354839,,,1.3467874862246563
CCCCCCCCn1cc[n+](C)c1.[I-],31.9552419354839,,,1.5228787452803376
CCCCCCCCCCCC[N+].[Cl-],31.9552419354839,,,1.8356471442155629
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,31.9552419354839,,,1.6197887582883939
CCCCCCCCCCCCN(C)C.Cl,31.9552419354839,,,1.7695510786217261
CCCCCCCCCCCC[N+]C.[Cl-],31.9552419354839,,,1.8356471442155629
CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],31.9552419354839,,,1.8860566476931633
CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],31.9552419354839,,,2.494850021680094
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,31.9552419354839,,,2.5528419686577806
CCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],25.0,,,2.3665315444204134
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],31.9552419354839,,,2.9208187539523753
CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],31.9552419354839,,,3.4559319556497243
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],31.9552419354839,,,2.9208187539523753
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],31.9552419354839,,,3.1870866433571443
CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],31.9552419354839,,,2.6020599913279625
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],15.0,,,2.886056647693163
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,,,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],25.0,,,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],30.0,,,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],35.0,,,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.01,2.886056647693163
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.015,2.8927900303521317
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.02,2.9030899869919438
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.025,2.906578314837765
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.035,2.9281179926938745
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Na+].[Cl-],0.045,2.958607314841775
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],35.0,[Na+].[Cl-],0.01,2.9208187539523753
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],35.0,[Na+].[Cl-],0.02,2.958607314841775
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],35.0,[Na+].[Cl-],0.045,3.0
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Cl-].[Cl-].[Ca+2].,0.01,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Cl-].[Cl-].[Ca+2].,0.02,2.886056647693163
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Cl-].[Cl-].[Ca+2].,0.05,2.9208187539523753
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Mg+2].[Cl-].[Cl-],0.01,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Mg+2].[Cl-].[Cl-],0.02,2.886056647693163
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Mg+2].[Cl-].[Cl-],0.05,2.958607314841775
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0, [Na+].[Na+].[O-]S([O-])(=O)=O.,0.01,2.853871964321762
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0, [Na+].[Na+].[O-]S([O-])(=O)=O.,0.02,2.886056647693163
CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)[O-].[Na+],20.0,[Cl-].[Cl-].[Cl-].[Fe+3],0.05,2.958607314841775
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],15.0,,,2.221848749616356
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],20.0,,,2.2596373105057563
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],30.0,,,2.1870866433571443
