smiles,temp,pCMC
CCCCCCOS(=O)(=O)[O-].[Na+],40.0,0.364
CCCCCCCOS(=O)(=O)[O-].[Na+],40.0,0.645
CCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,1.209
O=C(CCCCCCCC)[O-].[K+],40.0,0.333
O=C(CCCCCCCCCC)[O-].[K+],40.0,0.936
CCCCCCCCCCCCC(=O)[O-].[K+],40.0,1.538
CCCCCCCCCCCCCCC(=O)[O-].[K+],40.0,2.137
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],40.0,2.745
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,0.745
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],40.0,1.539
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],40.0,1.081
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,2.187
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],40.0,1.714
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],40.0,4.1
CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.509
CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.921
CCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.5
CCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.4
CCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.3
CCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.25
CCCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.57
CCCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,3.0
CCCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.9
CCCCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.78
CCCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.7
CCCCCCC(CCCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.6
